"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
2.516837680E-1,1.179742932E0,4.164713860E0,9.895833969E0
2.536940280E-1,1.127070427E0,4.131195068E0,1.003948593E1
2.557042890E-1,1.064821243E0,4.135983467E0,1.019750404E1
2.577145490E-1,9.690531492E-1,4.135983467E0,1.038903999E1
2.597248100E-1,8.301894665E-1,4.078522682E0,1.052790356E1
2.617350700E-1,6.530185342E-1,4.064157486E0,1.066676712E1
2.637453300E-1,5.811924338E-1,4.121618271E0,1.075774670E1
2.657555910E-1,5.716156363E-1,4.270058632E0,1.082957268E1
2.677658510E-1,5.141547918E-1,4.361038208E0,1.085830307E1
2.697761120E-1,3.752911091E-1,4.389768600E0,1.085830307E1
2.717863720E-1,2.172738016E-1,4.356249809E0,1.083436108E1
2.737966320E-1,-1.256955881E-2,4.241328239E0,1.084393787E1
2.758068930E-1,-4.100070298E-1,4.030638695E0,1.080563068E1
2.778171530E-1,-7.739257216E-1,3.810372114E0,1.073859310E1
2.798274140E-1,-8.984242082E-1,3.709815502E0,1.073380470E1
2.818376740E-1,-6.542156339E-1,3.867832899E0,1.086787987E1
2.838479350E-1,-2.328361124E-1,4.179079056E0,1.090618706E1
2.858581950E-1,2.094926499E-2,4.370615005E0,1.077211189E1
2.878684550E-1,6.883329898E-2,4.351461411E0,1.051353836E1
2.898787160E-1,2.094926499E-2,4.294000626E0,1.026454163E1
