"Time (s)","w","x","y","z","Direct (°)","Yaw (°)","Pitch (°)","Roll (°)"
2.561998620E-1,1.173852179E-2,1.027397215E-1,2.551271319E-1,9.613620043E-1,1.786548336E2,3.014906333E1,-1.104328336E1,1.756178623E2
2.611998620E-1,1.127448161E-2,9.836616367E-2,2.531301081E-1,9.623523951E-1,1.787080122E2,2.986010318E1,-1.058056973E1,1.758288738E2
2.661998620E-1,8.649662228E-3,9.306791425E-2,2.514500022E-1,9.633464813E-1,1.790088094E2,2.958354896E1,-1.007652707E1,1.763039535E2
2.711998620E-1,7.879171399E-3,8.828134090E-2,2.499521822E-1,9.641930461E-1,1.790971041E2,2.935516463E1,-9.572859926E0,1.765507679E2
2.761998620E-1,4.287945803E-3,8.242437989E-2,2.488097399E-1,9.650292993E-1,1.795086361E2,2.914092403E1,-9.029914242E0,1.771391488E2
2.811998620E-1,5.633158838E-4,7.588935643E-2,2.475055903E-1,9.659096599E-1,1.799354488E2,2.890933012E1,-8.414053762E0,1.777606037E2
2.861998620E-1,3.086872617E-3,-7.039772719E-2,-2.465692312E-1,-9.665600061E-1,1.796462699E2,2.873683045E1,-7.909542461E0,1.783367761E2
2.911998620E-1,4.311057922E-3,-6.651251018E-2,-2.459835559E-1,-9.669796228E-1,1.795059876E2,2.863729178E1,-7.513129579E0,1.785906273E2
2.961998620E-1,6.360985552E-3,-6.287735701E-2,-2.457263321E-1,-9.672768712E-1,1.792710798E2,2.857497024E1,-7.167228323E0,1.789260984E2
3.011998620E-1,7.153875060E-3,-5.995323509E-2,-2.456304878E-1,-9.674813151E-1,1.791802193E2,2.854530226E1,-6.864498712E0,1.790991064E2
3.061998620E-1,8.320665360E-3,-5.721624568E-2,-2.457924038E-1,-9.675965905E-1,1.790465110E2,2.854597505E1,-6.592943183E0,1.793064411E2
3.111998620E-1,7.962868211E-3,-5.511940271E-2,-2.461515218E-1,-9.676300287E-1,1.790875129E2,2.858252261E1,-6.349357724E0,1.793240319E2
3.161998620E-1,8.633202232E-3,-5.293600634E-2,-2.468473315E-1,-9.675689340E-1,1.790106956E2,2.865320953E1,-6.125156355E0,1.794567180E2
3.211998620E-1,8.164150157E-3,-5.117894709E-2,-2.476933151E-1,-9.674513340E-1,1.790644469E2,2.874998373E1,-5.916022229E0,1.794495108E2
3.261998620E-1,8.579579295E-3,-4.937531427E-2,-2.487083673E-1,-9.672810435E-1,1.790168406E2,2.886214163E1,-5.726918793E0,1.795414959E2
3.311998620E-1,7.806957780E-3,-4.808172956E-2,-2.497548461E-1,-9.670830965E-1,1.791053794E2,2.898607112E1,-5.560554405E0,1.794866518E2
3.361998620E-1,7.856626824E-3,-4.678018019E-2,-2.508930266E-1,-9.668518901E-1,1.790996876E2,2.911674551E1,-5.416865250E0,1.795233852E2
3.411998620E-1,6.850057510E-3,-4.592078924E-2,-2.520357072E-1,-9.666035175E-1,1.792150351E2,2.925457403E1,-5.291755672E0,1.794300596E2
3.461998620E-1,6.720300569E-3,-4.501895607E-2,-2.532330751E-1,-9.663338661E-1,1.792299045E2,2.939451937E1,-5.187211118E0,1.794354658E2
3.511998620E-1,5.531529750E-3,-4.454280436E-2,-2.543770671E-1,-9.660629630E-1,1.793661301E2,2.953443158E1,-5.098976018E0,1.793112139E2
3.561998620E-1,5.308602632E-3,-4.392942414E-2,-2.555626035E-1,-9.657793641E-1,1.793916761E2,2.967433029E1,-5.023574554E0,1.792983039E2
3.611998620E-1,4.007124839E-3,-4.363850132E-2,-2.566838861E-1,-9.655014277E-1,1.795408161E2,2.981250921E1,-4.952118313E0,1.791565884E2
3.661998620E-1,3.822216379E-3,-4.306680709E-2,-2.578244507E-1,-9.652239084E-1,1.795620052E2,2.994700071E1,-4.882301184E0,1.791472490E2
3.711998620E-1,2.732319622E-3,-4.276304692E-2,-2.588846684E-1,-9.649572968E-1,1.796868988E2,3.007680536E1,-4.815288526E0,1.790300508E2
3.761998620E-1,2.567730551E-3,-4.220356792E-2,-2.599520385E-1,-9.646953940E-1,1.797057594E2,3.020253339E1,-4.747351938E0,1.790232813E2
3.811998620E-1,1.446793500E-3,-4.184850305E-2,-2.609188855E-1,-9.644521475E-1,1.798342096E2,3.032106057E1,-4.673454349E0,1.789049570E2
3.861998620E-1,1.356245643E-3,-4.117676988E-2,-2.618638575E-1,-9.642250538E-1,1.798445856E2,3.043150175E1,-4.595328276E0,1.789106799E2
3.911998620E-1,5.391293790E-4,-4.070911929E-2,-2.627005279E-1,-9.640181065E-1,1.799382203E2,3.053275498E1,-4.517978888E0,1.788303640E2
3.961998620E-1,3.316573882E-4,-4.001976550E-2,-2.634635568E-1,-9.638388157E-1,1.799619949E2,3.062195132E1,-4.434533786E0,1.788248058E2
4.011998620E-1,4.990086906E-4,3.946435824E-2,2.641429603E-1,9.636756778E-1,1.799428178E2,3.070410969E1,-4.347078600E0,1.787466606E2
4.061998620E-1,8.885041679E-4,3.882744163E-2,2.647726536E-1,9.635284543E-1,1.798981849E2,3.077829131E1,-4.264001394E0,1.787201975E2
4.111998620E-1,2.513236805E-3,3.851191700E-2,2.653234899E-1,9.633867145E-1,1.797120040E2,3.084885336E1,-4.178852902E0,1.785476225E2
4.161998620E-1,3.256947629E-3,3.788655996E-2,2.658956349E-1,9.632515311E-1,1.796267806E2,3.091738699E1,-4.086162907E0,1.784820803E2
4.211998620E-1,4.876189448E-3,3.741337731E-2,2.664235830E-1,9.631173015E-1,1.794412276E2,3.098428075E1,-3.983470435E0,1.783153002E2
4.261998620E-1,5.734592090E-3,3.665810823E-2,2.669614553E-1,9.629926682E-1,1.793428605E2,3.104840408E1,-3.872771058E0,1.782414643E2
4.311998620E-1,7.339416968E-3,3.602776676E-2,2.674840987E-1,9.628605247E-1,1.791589572E2,3.111360722E1,-3.752867778E0,1.780814263E2
4.361998620E-1,8.087858435E-3,3.504499048E-2,2.680605948E-1,9.627304673E-1,1.790731896E2,3.118078990E1,-3.620160467E0,1.780269210E2
4.411998620E-1,9.488189156E-3,3.413750976E-2,2.686303556E-1,9.625914693E-1,1.789127173E2,3.124941568E1,-3.475591511E0,1.778982233E2
4.461998620E-1,9.937777786E-3,3.286911920E-2,2.692659497E-1,9.624534845E-1,1.788611958E2,3.132137407E1,-3.320325745E0,1.778857473E2
4.511998620E-1,1.072056832E-2,3.163517267E-2,2.699010670E-1,9.623085260E-1,1.787714898E2,3.139437412E1,-3.158517155E0,1.778355902E2
4.561998620E-1,1.092354193E-2,3.021859936E-2,2.705837190E-1,9.621600509E-1,1.787482294E2,3.147071470E1,-2.994425331E0,1.778552153E2
4.611998620E-1,1.146601830E-2,2.887148783E-2,2.713014483E-1,9.619929790E-1,1.786860623E2,3.155247541E1,-2.827367241E0,1.778352979E2
4.661998620E-1,1.144284715E-2,2.732488886E-2,2.720844746E-1,9.618172646E-1,1.786887177E2,3.163996603E1,-2.655822941E0,1.778841091E2
4.711998620E-1,1.196245995E-2,2.593936771E-2,2.729453444E-1,9.616053700E-1,1.786291704E2,3.173873195E1,-2.484933441E0,1.778680264E2
4.761998620E-1,1.176591204E-2,2.441746183E-2,2.739367485E-1,9.613656998E-1,1.786516947E2,3.185115486E1,-2.321227965E0,1.779351900E2
4.811998620E-1,1.219111127E-2,2.320216224E-2,2.750357389E-1,9.610766768E-1,1.786029669E2,3.197890074E1,-2.171579079E0,1.779241755E2
4.861998620E-1,1.204740042E-2,2.195708640E-2,2.762975693E-1,9.607457519E-1,1.786194362E2,3.212500934E1,-2.036320744E0,1.779767720E2
4.911998620E-1,1.255696558E-2,2.101929672E-2,2.776780128E-1,9.603621364E-1,1.785610399E2,3.228755799E1,-1.913959742E0,1.779477053E2
4.961998620E-1,1.248557245E-2,1.998688653E-2,2.792468369E-1,9.599301219E-1,1.785692216E2,3.247141104E1,-1.799321085E0,1.779856134E2
5.011998620E-1,1.313171951E-2,1.926866919E-2,2.809524238E-1,9.594383836E-1,1.784951725E2,3.267381074E1,-1.695940571E0,1.779345499E2
5.061998620E-1,1.328705623E-2,1.848896407E-2,2.827921808E-1,9.589109421E-1,1.784773707E2,3.289140013E1,-1.601258131E0,1.779395827E2
5.111998620E-1,1.398541173E-2,1.789925434E-2,2.847262919E-1,9.583396912E-1,1.783973376E2,3.312170704E1,-1.509523241E0,1.778789317E2
5.161998620E-1,1.423672920E-2,1.712461188E-2,2.867297232E-1,9.577526450E-1,1.783685359E2,3.335924900E1,-1.411801880E0,1.778737203E2
5.211998620E-1,1.507954162E-2,1.644428633E-2,2.887113392E-1,9.571561813E-1,1.782719463E2,3.359529287E1,-1.304865539E0,1.778008946E2
5.261998620E-1,1.527099646E-2,1.555713359E-2,2.906906605E-1,9.565687180E-1,1.782500047E2,3.382980108E1,-1.196690026E0,1.778068416E2
5.311998620E-1,1.621462971E-2,1.501561888E-2,2.926551104E-1,9.559626579E-1,1.781418589E2,3.406445016E1,-1.101186870E0,1.777191800E2
5.361998620E-1,1.639005393E-2,1.435886323E-2,2.946519256E-1,9.553561807E-1,1.781217541E2,3.430199520E1,-1.018597035E0,1.777199029E2
5.411998620E-1,1.730806601E-2,1.405571494E-2,2.966247797E-1,9.547337890E-1,1.780165427E2,3.453849442E1,-9.494877766E-1,1.776276539E2
5.461998620E-1,1.744155866E-2,1.361257490E-2,2.985469699E-1,9.541384578E-1,1.780012433E2,3.476795364E1,-8.916908759E-1,1.776263404E2
5.511998620E-1,1.811881473E-2,1.350976992E-2,3.003793657E-1,9.535520077E-1,1.779236232E2,3.498820107E1,-8.525640308E-1,1.775541426E2
5.561998620E-1,1.838678387E-2,1.347370539E-2,3.021216691E-1,9.529967904E-1,1.778929110E2,3.519763789E1,-8.348694049E-1,1.775245637E2
5.611998620E-1,1.927682882E-2,1.373399049E-2,3.037247658E-1,9.524657726E-1,1.777909013E2,3.539182571E1,-8.281024490E-1,1.774168929E2
