"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
1.935715790E-1,3.404848874E-1,8.186551332E-1,-1.150484756E-1
1.955817870E-1,3.234406710E-1,8.388951421E-1,-1.267663687E-1
1.975919950E-1,3.032006621E-1,8.591351509E-1,-1.363537461E-1
1.996022040E-1,2.818953991E-1,8.783098459E-1,-1.491369158E-1
2.016124120E-1,2.584595978E-1,8.953540921E-1,-1.576590240E-1
2.036226200E-1,2.318280041E-1,9.102677703E-1,-1.651158631E-1
2.056328290E-1,2.073269337E-1,9.230509400E-1,-1.725727171E-1
2.076430370E-1,1.828258783E-1,9.347688556E-1,-1.789642870E-1
2.096532450E-1,1.561942846E-1,9.443562031E-1,-1.810948253E-1
2.116634540E-1,1.253016293E-1,9.507477880E-1,-1.864211410E-1
2.136736620E-1,9.547425061E-2,9.507477880E-1,-1.906821877E-1
2.156838700E-1,6.351634115E-2,9.507477880E-1,-1.928127259E-1
2.176940790E-1,3.262370080E-2,9.454214573E-1,-1.960085034E-1
2.197042870E-1,2.796316985E-3,9.422256947E-1,-2.013348341E-1
2.217144950E-1,-2.916159295E-2,9.305077791E-1,-2.045306265E-1
2.237247040E-1,-6.218476593E-2,9.187898636E-1,-2.109221965E-1
2.257349120E-1,-9.307741374E-2,9.038761854E-1,-2.173137814E-1
2.277451200E-1,-1.271658540E-1,8.868319988E-1,-2.215748429E-1
2.297553290E-1,-1.569932252E-1,8.623309135E-1,-2.290316820E-1
2.317655370E-1,-1.889511347E-1,8.399603963E-1,-2.386190593E-1
2.337757450E-1,-2.166479975E-1,8.101329803E-1,-2.439453751E-1
2.357859540E-1,-2.422143221E-1,7.792403698E-1,-2.503369451E-1
2.377961620E-1,-2.688459158E-1,7.430213690E-1,-2.577938139E-1
2.398063700E-1,-2.922817171E-1,7.068024278E-1,-2.641853690E-1
2.418165790E-1,-3.093259335E-1,6.684529185E-1,-2.684464455E-1
2.438267870E-1,-3.295659423E-1,6.279729009E-1,-2.748380303E-1
2.458369950E-1,-3.423491120E-1,5.853623748E-1,-2.790990770E-1
2.478472040E-1,-3.572627902E-1,5.470128655E-1,-2.748380303E-1
2.498574120E-1,-3.668501675E-1,5.118591785E-1,-2.705769539E-1
2.518676200E-1,-3.753722608E-1,4.713791609E-1,-2.567285299E-1
2.538778290E-1,-3.849596381E-1,4.362254739E-1,-2.439453751E-1
2.558880370E-1,-3.934817612E-1,3.968107104E-1,-2.269011587E-1
2.578982450E-1,-3.934817612E-1,3.488738537E-1,-2.109221965E-1
2.599084540E-1,-3.913512230E-1,2.988064587E-1,-1.906821877E-1
2.619186620E-1,-3.764375448E-1,2.466085255E-1,-1.768337637E-1
2.639288700E-1,-3.466101587E-1,1.933453530E-1,-1.693769246E-1
2.659390270E-1,-3.125217259E-1,1.422126889E-1,-1.661811322E-1
2.679491830E-1,-2.741722167E-1,9.640636295E-2,-1.640505940E-1
2.699593390E-1,-2.390185297E-1,5.592634156E-2,-1.640505940E-1
2.719694950E-1,-2.049300969E-1,2.183790505E-2,-1.576590240E-1
2.739796520E-1,-1.782985032E-1,-6.924213842E-3,-1.480716467E-1
2.759898080E-1,-1.527321786E-1,-3.355580568E-2,-1.331579536E-1
2.779999640E-1,-1.250353158E-1,-6.231792271E-2,-1.203747913E-1
2.800101200E-1,-9.201214463E-2,-9.427583218E-2,-1.118526831E-1
2.820202770E-1,-5.792371184E-2,-1.272990108E-1,-1.065263674E-1
2.840304330E-1,-2.596580051E-2,-1.592569202E-1,-1.043958366E-1
2.860405890E-1,7.057371549E-3,-1.880190372E-1,-1.033305749E-1
2.880507450E-1,3.688475490E-2,-2.157158852E-1,-1.075916290E-1
2.900609020E-1,6.990792602E-2,-2.359558940E-1,-1.107874215E-1
2.920710580E-1,9.973530471E-2,-2.530001104E-1,-1.171789989E-1
2.940812140E-1,1.274321675E-1,-2.604569495E-1,-1.203747913E-1
2.960913700E-1,1.540637612E-1,-2.604569495E-1,-1.235705838E-1
2.981015270E-1,1.743037701E-1,-2.593916953E-1,-1.267663687E-1
3.001116830E-1,1.966743022E-1,-2.561959028E-1,-1.278316379E-1
3.021218390E-1,2.158490419E-1,-2.434127480E-1,-1.267663687E-1
3.041319950E-1,2.296974659E-1,-2.327601016E-1,-1.257011145E-1
3.061421520E-1,2.446111590E-1,-2.210422009E-1,-1.235705838E-1
3.081523080E-1,2.563290596E-1,-2.071937770E-1,-1.171789989E-1
3.101624640E-1,2.659164369E-1,-1.922800839E-1,-1.086568907E-1
3.121726200E-1,2.733732760E-1,-1.752358675E-1,-9.906952083E-2
3.141827770E-1,2.776343226E-1,-1.613874435E-1,-9.161267430E-2
3.161929330E-1,2.850911915E-1,-1.464737505E-1,-8.309056610E-2
3.182030890E-1,2.914827764E-1,-1.283642650E-1,-7.137266546E-2
3.202132450E-1,2.946785688E-1,-1.049284711E-1,-6.072002649E-2
3.222234020E-1,2.957438231E-1,-8.042740822E-2,-4.900212586E-2
3.242335580E-1,2.989396155E-1,-5.486107618E-2,-3.302317113E-2
3.262437140E-1,3.053312004E-1,-2.290316857E-2,-1.917474531E-2
3.282538700E-1,3.074617088E-1,1.864211448E-2,-3.195791040E-3
3.302640270E-1,3.095922470E-1,6.444845349E-2,1.171789970E-2
3.322741830E-1,3.095922470E-1,1.145158410E-1,2.663159184E-2
3.342843390E-1,3.063964546E-1,1.635179669E-1,4.154528305E-2
3.362944950E-1,3.010701239E-1,2.157158852E-1,5.965476483E-2
3.383046520E-1,2.957438231E-1,2.668485343E-1,7.350318879E-2
3.403148080E-1,2.904174924E-1,3.179811835E-1,8.628635854E-2
3.423249640E-1,2.818953991E-1,3.691138625E-1,9.906952083E-2
3.443351200E-1,2.723080218E-1,4.181159735E-1,1.107874215E-1
3.463452770E-1,2.637858987E-1,4.649875760E-1,1.203747913E-1
3.483554330E-1,2.520680130E-1,5.097286701E-1,1.288969070E-1
3.503655890E-1,2.403501123E-1,5.502086878E-1,1.331579536E-1
3.523757450E-1,2.318280041E-1,5.832318664E-1,1.384842694E-1
3.543859020E-1,2.233058959E-1,5.992107987E-1,1.416800618E-1
3.563960580E-1,2.179795653E-1,6.077328920E-1,1.438105851E-1
3.584062140E-1,2.137185186E-1,6.130592227E-1,1.438105851E-1
3.604163700E-1,2.126532495E-1,6.151897311E-1,1.416800618E-1
3.624265270E-1,2.158490419E-1,6.151897311E-1,1.427453309E-1
3.644366830E-1,2.179795653E-1,6.194508076E-1,1.427453309E-1
3.664468390E-1,2.211753577E-1,6.290381551E-1,1.427453309E-1
3.684569950E-1,2.233058959E-1,6.396908164E-1,1.384842694E-1
3.704671520E-1,2.243711501E-1,6.524739861E-1,1.363537461E-1
3.724773080E-1,2.179795653E-1,6.631265879E-1,1.331579536E-1
3.744874640E-1,2.179795653E-1,6.780403256E-1,1.331579536E-1
3.764976200E-1,2.158490419E-1,6.876276731E-1,1.342232227E-1
3.785077770E-1,2.062616795E-1,6.929540038E-1,1.363537461E-1
3.805179330E-1,1.988048255E-1,6.940192580E-1,1.352884769E-1
3.825280890E-1,1.902827173E-1,6.886929274E-1,1.363537461E-1
3.845382450E-1,1.764342934E-1,6.812360883E-1,1.363537461E-1
3.865484020E-1,1.657816470E-1,6.716487408E-1,1.342232227E-1
3.885585580E-1,1.508679688E-1,6.663224101E-1,1.342232227E-1
3.905687140E-1,1.327584833E-1,6.588655710E-1,1.331579536E-1
3.925788700E-1,1.157142594E-1,6.503434777E-1,1.363537461E-1
3.945890790E-1,9.653951973E-2,6.418213248E-1,1.352884769E-1
3.965992870E-1,7.949529588E-2,6.290381551E-1,1.342232227E-1
3.986094950E-1,6.138581783E-2,6.162550449E-1,1.363537461E-1
4.006197040E-1,4.327633604E-2,6.013413072E-1,1.374190152E-1
4.026299120E-1,2.410159074E-2,5.842971206E-1,1.363537461E-1
4.046401200E-1,8.122635074E-3,5.683181286E-1,1.363537461E-1
4.066503290E-1,-6.791055668E-3,5.534044504E-1,1.352884769E-1
4.086605370E-1,-2.596580051E-2,5.352949500E-1,1.363537461E-1
4.106707450E-1,-4.620581120E-2,5.171855092E-1,1.363537461E-1
4.126809540E-1,-6.325002760E-2,4.990760088E-1,1.374190152E-1
4.146911620E-1,-8.135951310E-2,4.777707458E-1,1.406148076E-1
4.167013700E-1,-9.840372950E-2,4.607265294E-1,1.416800618E-1
4.187115790E-1,-1.154479459E-1,4.394212663E-1,1.427453309E-1
4.207217870E-1,-1.303616315E-1,4.223770201E-1,1.480716467E-1
4.227319950E-1,-1.463405937E-1,4.010717571E-1,1.491369158E-1
4.247422040E-1,-1.591237634E-1,3.850927949E-1,1.544632316E-1
4.267524120E-1,-1.697763950E-1,3.659180701E-1,1.565937549E-1
4.287626200E-1,-1.804290265E-1,3.499391079E-1,1.608548164E-1
4.307728290E-1,-1.846900880E-1,3.371559381E-1,1.683116555E-1
4.327830370E-1,-1.932121962E-1,3.222422600E-1,1.810948253E-1
4.347932450E-1,-1.985385120E-1,3.083938360E-1,1.938779801E-1
4.368034540E-1,-2.038648278E-1,2.902843356E-1,2.098569423E-1
4.388136620E-1,-2.113216817E-1,2.700443268E-1,2.269011587E-1
4.408238700E-1,-2.145174593E-1,2.508696020E-1,2.450106442E-1
4.428340790E-1,-2.209090441E-1,2.306295782E-1,2.641853690E-1
4.448406930E-1,-2.294311523E-1,2.125200927E-1,2.822948694E-1
4.468473080E-1,-2.368880063E-1,1.954758763E-1,2.961432934E-1
4.488543390E-1,-2.443448454E-1,1.816274524E-1,3.089264631E-1
4.508618910E-1,-2.486059070E-1,1.688442826E-1,3.174485564E-1
4.528700680E-1,-2.475406379E-1,1.581916511E-1,3.270359337E-1
4.548789230E-1,-2.475406379E-1,1.571263820E-1,3.302317262E-1
4.568884540E-1,-2.454101145E-1,1.603221744E-1,3.355580568E-1
4.588986620E-1,-2.400837988E-1,1.720400751E-1,3.408843577E-1
4.609095480E-1,-2.379532605E-1,1.858884990E-1,3.451454341E-1
4.629210580E-1,-2.368880063E-1,2.050632536E-1,3.494064808E-1
4.649330890E-1,-2.336922139E-1,2.253032625E-1,3.515369892E-1
4.669455370E-1,-2.336922139E-1,2.455432713E-1,3.557980657E-1
4.689582980E-1,-2.326269448E-1,2.593916953E-1,3.611243665E-1
4.709712660E-1,-2.326269448E-1,2.732401192E-1,3.632549047E-1
4.729843390E-1,-2.336922139E-1,2.902843356E-1,3.653854430E-1
4.749973600E-1,-2.336922139E-1,3.020022511E-1,3.664506972E-1
4.770075160E-1,-2.347574681E-1,3.105243444E-1,3.675159514E-1
4.790176730E-1,-2.368880063E-1,3.201117218E-1,3.653854430E-1
4.810278290E-1,-2.326269448E-1,3.254380524E-1,3.611243665E-1
4.830379850E-1,-2.283658981E-1,3.318296373E-1,3.515369892E-1
4.850481410E-1,-2.198437899E-1,3.382211924E-1,3.440801501E-1
4.870582980E-1,-2.091911435E-1,3.424822688E-1,3.334275186E-1
4.890684540E-1,-1.985385120E-1,3.446127772E-1,3.217096329E-1
4.910786100E-1,-1.889511347E-1,3.456780612E-1,3.110569715E-1
4.930887660E-1,-1.814942956E-1,3.403517306E-1,2.993390858E-1
4.950989230E-1,-1.761679798E-1,3.350254297E-1,2.886864543E-1
4.971090790E-1,-1.697763950E-1,3.265033066E-1,2.790990770E-1
4.991192350E-1,-1.623195410E-1,3.137201369E-1,2.663159072E-1
5.011293910E-1,-1.548627019E-1,2.924148738E-1,2.556632757E-1
5.031395480E-1,-1.527321786E-1,2.679138184E-1,2.439453751E-1
5.051497040E-1,-1.463405937E-1,2.380864173E-1,2.332927436E-1
5.071598600E-1,-1.420795321E-1,2.008021921E-1,2.247706354E-1
5.091700160E-1,-1.346226931E-1,1.560611278E-1,2.130527347E-1
5.111801730E-1,-1.303616315E-1,1.059937328E-1,1.970737725E-1
5.131903290E-1,-1.207742617E-1,6.125266105E-2,1.778990328E-1
5.152004850E-1,-1.122521535E-1,2.290316857E-2,1.587242782E-1
5.172106410E-1,-1.069258377E-1,-1.597895520E-3,1.374190152E-1
5.192207980E-1,-9.520793706E-2,-9.054740891E-3,1.203747913E-1
5.212309540E-1,-8.562056720E-2,-1.597895520E-3,1.043958366E-1
5.232411100E-1,-7.070687413E-2,1.970737800E-2,9.374319762E-2
5.252512660E-1,-6.005423889E-2,4.633896798E-2,8.735162020E-2
5.272614230E-1,-4.620581120E-2,6.764423847E-2,8.202529699E-2
5.292715790E-1,-3.661843762E-2,7.616634667E-2,8.309056610E-2
5.312817350E-1,-2.703106403E-2,7.936213911E-2,8.735162020E-2
5.332918910E-1,-1.637842879E-2,7.190529257E-2,9.267793596E-2
5.353020480E-1,-7.856319658E-3,6.125266105E-2,9.480846673E-2
5.373122040E-1,-5.725792143E-3,5.273054913E-2,9.374319762E-2
5.393226730E-1,-1.464737463E-3,4.101264849E-2,9.267793596E-2
5.413331410E-1,1.731053460E-3,2.609895915E-2,8.735162020E-2
5.433433500E-1,2.796316985E-3,1.597895520E-3,7.989477366E-2
5.453535060E-1,7.057371549E-3,-2.290316857E-2,6.924213469E-2
5.473636620E-1,1.238369010E-2,-4.846949503E-2,5.965476483E-2
5.493738180E-1,1.984053478E-2,-7.510108501E-2,4.580633715E-2
5.513839750E-1,2.942790836E-2,-9.214530140E-2,3.195790946E-2
5.533941310E-1,4.221107066E-2,-1.017326787E-1,1.704421826E-2
5.554042870E-1,5.392897129E-2,-1.038632020E-1,-2.130527282E-3
5.574144430E-1,6.777740270E-2,-1.017326787E-1,-1.704421826E-2
5.594246000E-1,8.375635743E-2,-9.853688627E-2,-3.408843651E-2
5.614347560E-1,9.760478139E-2,-9.321057051E-2,-4.580633715E-2
5.634449120E-1,1.114532053E-1,-9.321057051E-2,-5.752423778E-2
